Inglaterra | Alemanha | Escocia | Irlanda
Uma igreja | Uma capela | Um hospital | Um cemiterio
Helsinki | Sao Paulo | Moscou | Reykjavik
Leao | Elefante | Cobra | Mosquito 
Chaves | Godinez | Quico | Seu Barriga  
20 a 25 anos | 10 a 15 anos | 30 a 40 anos | Mais de 40 anos 
Ghost | Caçadores de Emocoes | De Volta para o Futuro 3 | Maquina Mortifera 2
Noturno | Tempestade | Lince Negra | Vampira 
Do Apocalipse | Do ano de 2012 | Do numero 666 | Palavras grandes
Pumyra | Tygra | Cheetara | Panthro 

